City,lat,long,temp,humidity,cloudiness,windspeed
seydi,39.4816,62.9137,69.48,19.0,0.0,16.91
barrow,71.2906,-156.7887,17.6,79.0,90.0,12.66
longyearbyen,78.2186,15.6401,28.4,74.0,75.0,16.11
sitka,57.0531,-135.33,44.6,87.0,90.0,12.66
fairbanks,64.8378,-147.7164,61.5,23.0,40.0,3.6
bethel,41.3712,-73.414,64.29,21.0,1.0,5.75
lumeje,-11.55,20.7833,59.36,60.0,3.0,5.39
rio grande,-32.035,-52.0986,57.13,63.0,43.0,4.68
illoqqortoormiut,,,,,,
saleaula,,,,,,
hilo,19.7297,-155.09,73.83,65.0,75.0,6.91
korhogo,9.45,-5.6333,83.16,52.0,4.0,4.59
mataura,-46.1927,168.8643,46.0,76.0,93.0,5.01
karlstad,59.3793,13.5036,57.2,58.0,12.0,6.91
port alfred,-33.5906,26.891,59.83,80.0,0.0,3.36
cape town,-33.9258,18.4232,54.3,87.0,0.0,2.3
east london,-33.0153,27.9116,61.84,69.0,0.0,2.71
biloela,-24.4167,150.5,69.13,34.0,0.0,12.62
thompson,55.7435,-97.8558,55.4,38.0,20.0,10.36
jambusar,22.05,72.8,85.55,59.0,63.0,6.76
rikitea,-23.1203,-134.9692,76.46,75.0,88.0,9.19
lavrentiya,65.5833,-171.0,34.77,95.0,90.0,4.63
sioux lookout,50.1001,-91.917,68.0,28.0,40.0,10.36
cacoal,-11.4386,-61.4472,73.72,82.0,78.0,2.51
busselton,-33.65,115.3333,55.22,80.0,98.0,1.01
upington,-28.4478,21.2561,59.0,36.0,0.0,6.91
ushuaia,-54.8,-68.3,41.0,75.0,0.0,3.44
liku,-0.7275,119.8922,79.75,87.0,98.0,2.51
severo-kurilsk,50.6789,156.125,39.0,64.0,41.0,9.91
pingdu,36.7844,119.9464,66.2,59.0,0.0,8.95
vaini,-21.2,-175.2,77.0,73.0,75.0,8.05
hudson bay,52.85,-102.3842,63.72,43.0,87.0,7.81
puerto palomas,31.7667,-107.6167,89.6,11.0,1.0,4.7
zhigansk,66.7697,123.3711,40.96,62.0,100.0,13.76
bredasdorp,-34.5322,20.0403,50.0,93.0,0.0,4.61
biak,-0.9131,122.8766,81.41,71.0,63.0,6.67
codrington,-38.2667,141.9667,53.67,64.0,97.0,17.31
kahului,20.8947,-156.47,74.7,54.0,40.0,26.46
srednekolymsk,67.45,153.6833,31.41,99.0,100.0,9.69
puerto ayora,-0.7393,-90.3518,78.22,65.0,40.0,17.27
provideniya,64.3833,-173.3,41.0,70.0,75.0,11.18
mar del plata,-38.0023,-57.5575,56.46,100.0,100.0,3.69
