city,lat,long,temp,humidity,cloudiness,windspeed,country,date
kapaa,22.0752,-159.319,70.79,73,40,20.71,US,1621176648
panguna,-6.3164,155.4848,68.63,94,100,2.8,PG,1621176653
saskylakh,71.9167,114.0833,17.87,93,100,16.71,RU,1621176658
bredasdorp,-34.5322,20.0403,60.8,63,51,10.36,ZA,1621176663
ostrovnoy,68.0531,39.5131,34.97,86,100,10,RU,1621176669
luzhany,48.3649,25.7717,66.33,67,100,13.4,UA,1621176674
bur gabo,,,,,,,,
necochea,-38.5473,-58.7368,60.01,77,98,1.99,AR,1621176684
puerto ayora,-0.7393,-90.3518,76.37,88,75,11.5,EC,1621176689
albany,42.6001,-73.9662,71.33,27,93,3.56,US,1621176695
arraial do cabo,-22.9661,-42.0278,77,69,20,6.91,BR,1621176564
qaanaaq,77.484,-69.3632,32.83,78,99,8.03,GL,1621176705
talara,-4.5772,-81.2719,69.8,83,75,12.66,PE,1621176710
port alfred,-33.5906,26.891,63.18,60,22,22.39,ZA,1621176422
louisbourg,,,,,,,,
namibe,-15.1961,12.1522,87.8,45,0,13.8,AO,1621176726
vaitupu,,,,,,,,
gizo,-8.103,156.8419,82.94,76,98,5.53,SB,1621176736
avera,33.194,-82.5271,71.73,43,1,6.91,US,1621176741
khatanga,71.9667,102.5,10.4,96,34,5.12,RU,1621176746
butaritari,3.0707,172.7902,82.45,79,100,15.9,KI,1621176752
busselton,-33.65,115.3333,63.46,66,100,3,AU,1621176757
pacific grove,36.6177,-121.9166,51.19,87,94,6.17,US,1621176762
makasar,-5.14,119.4221,77,100,20,2.3,ID,1621176767
qinhuangdao,39.9317,119.5883,60.21,38,100,5.5,CN,1621176773
rikitea,-23.1203,-134.9692,74.44,66,87,13.78,PF,1621176778
saint-philippe,-21.3585,55.7679,74.73,73,0,3.44,RE,1621176783
tarsus,36.9188,34.8784,76.06,60,40,10.36,TR,1621176789
souillac,-20.5167,57.5167,78.01,70,10,7,MU,1621176794
chokurdakh,70.6333,147.9167,17.51,95,94,7.14,RU,1621176799
isangel,-19.55,169.2667,75.97,86,10,5.99,VU,1621176804
puerto colombia,10.9878,-74.9547,86,74,75,2.3,CO,1621176810
samusu,,,,,,,,
hihifo,,,,,,,,
port hardy,50.6996,-127.4199,49.3,93,90,2.3,CA,1621176825
airai,-8.9266,125.4092,55.98,83,54,3.11,TL,1621176830
birjand,32.8663,59.2211,82.4,6,0,4.61,IR,1621176835
faya,18.3851,42.4509,81.5,21,20,9.22,SA,1621176841
hambantota,6.1241,81.1185,86,84,20,4.61,LK,1621176846
provideniya,64.3833,-173.3,31.95,89,30,1.45,RU,1621176851
praia da vitoria,38.7333,-27.0667,68.16,78,20,11.14,PT,1621176856
thompson,55.7435,-97.8558,46.4,93,90,10.36,CA,1621176862
iqaluit,63.7506,-68.5145,24.39,86,90,9.22,CA,1621176867
vaini,-21.2,-175.2,75.2,88,40,6.91,TO,1621176872
wladyslawowo,54.7909,18.4009,58.32,77,40,6.91,PL,1621176878
taolanaro,,,,,,,,
marshall,34.3834,-86.3333,69.19,46,1,4.61,US,1621176802
lerwick,60.1545,-1.1494,50,81,75,8.05,GB,1621176893
puerto escondido,15.85,-97.0667,80.6,83,75,5.75,MX,1621176898
hobart,-42.8794,147.3294,42.98,65,40,9.22,AU,1621176903
praia,14.9215,-23.5087,78.8,57,0,20.71,CV,1621176909
haines junction,60.7522,-137.5108,32,74,100,3.44,CA,1621176914
mataura,-46.1927,168.8643,42.01,81,93,5.99,NZ,1621176920
tiksi,71.6872,128.8694,22.68,99,47,2.08,RU,1621176925
gasa,31.5,34.4667,83.23,33,14,5.01,PS,1621176931
punta arenas,-53.15,-70.9167,44.29,93,90,11.5,CL,1621176936
zhezkazgan,47.8043,67.7144,73.87,29,54,7.85,KZ,1621176941
the valley,18.217,-63.0578,84.9,70,20,14.97,AI,1621176946
khuzdar,27.7384,66.6434,74.34,40,99,1.03,PK,1621176952
prince george,53.9166,-122.753,51.71,93,90,2.3,CA,1621176957
hithadhoo,-0.6,73.0833,85.24,69,58,15.55,MV,1621176962
chagda,,,,,,,,
alotau,,,,,,,,
hermanus,-34.4187,19.2345,59,78,75,1.99,ZA,1621176978
chuy,-33.6971,-53.4616,62.17,53,100,3.71,UY,1621176983
makakilo city,21.3469,-158.0858,71.24,68,40,3.44,US,1621176988
bluff,-46.6,168.3333,42.01,81,100,5.99,NZ,1621176993
jamestown,42.097,-79.2353,60.75,47,1,8.05,US,1621176999
port elizabeth,-33.918,25.5701,60.8,67,0,27.63,ZA,1621177004
katsuura,35.1333,140.3,68.2,96,100,1.01,JP,1621177009
grand river south east,,,,,,,,
lebu,-37.6167,-73.65,55.76,59,42,5.3,CL,1621177019
krasnyy chikoy,50.3643,108.7512,46,79,53,0.51,RU,1621177025
new norfolk,-42.7826,147.0587,40.59,83,53,1.99,AU,1621177030
port lincoln,-34.7333,135.8667,57.52,69,73,5.37,AU,1621177035
castro,-24.7911,-50.0119,67.86,57,0,3.13,BR,1621177040
ilulissat,69.2167,-51.1,35.6,64,75,3.44,GL,1621177046
ialibu,-6.2821,143.9935,58.48,97,100,2.08,PG,1621177051
hilo,19.7297,-155.09,66.56,60,40,3.44,US,1621176834
goure,13.9835,10.2704,106,8,77,10,NE,1621177061
cherskiy,68.75,161.3,28.35,87,99,5.5,RU,1621177067
havoysund,70.9963,24.6622,33.8,100,75,10.36,NO,1621177072
deputatskiy,69.3,139.9,24.04,97,100,3.47,RU,1621177077
yuryev-polskiy,56.5,39.6833,65.57,73,41,11.77,RU,1621177082
saint-joseph,-21.3667,55.6167,74.57,73,0,3.44,RE,1621177088
bengkulu,-3.8004,102.2655,78.17,90,100,5.88,ID,1621177093
japura,-0.3167,102.35,76.19,97,100,3.38,ID,1621177098
lazarev,52.225,141.5131,34.05,83,13,6.71,RU,1621177103
georgetown,5.4112,100.3354,83.52,89,20,6.91,MY,1621176961
ushuaia,-54.8,-68.3,44.6,65,40,5.75,AR,1621177114
mao,39.8885,4.2658,77,50,0,10.36,ES,1621177119
westport,41.1415,-73.3579,68.92,45,1,6.91,US,1621176943
atuona,-9.8,-139.0333,78.87,67,2,15.95,PF,1621177129
eyl,7.9803,49.8164,90.72,53,100,19.08,SO,1621177134
dunedin,-45.8742,170.5036,44.01,84,51,1.99,NZ,1621177140
toktogul,41.8708,72.9402,60.48,44,4,3.02,KG,1621177145
lata,40.1629,-8.3327,67.32,94,75,8.05,PT,1621177150
quarai,-30.3875,-56.4514,67.6,56,100,2.42,BR,1621177156
longyearbyen,78.2186,15.6401,24.8,63,20,3.44,SJ,1621177161
caravelas,-17.7125,-39.2481,79.29,54,100,8.7,BR,1621177166
berea,41.3662,-81.8543,63.03,42,90,3.44,US,1621177093
ajdabiya,30.7554,20.2263,71.74,53,35,19.44,LY,1621177176
grand baie,-20.0182,57.5802,78.01,70,11,5.99,MU,1621177182
marsh harbour,26.5412,-77.0636,75.58,67,96,18.21,BS,1621177187
amapa,1,-52,76.6,84,100,2.91,BR,1621177192
turinskaya sloboda,57.6232,64.3858,81.07,29,67,10.11,RU,1621177197
yulara,-25.2406,130.9889,51.8,54,2,6.91,AU,1621177209
novouzensk,50.4592,48.1431,83.37,36,17,8.34,RU,1621177214
gijon,43.5357,-5.6615,61.86,59,100,8.99,ES,1621177020
middle island,40.8843,-72.9373,66.51,37,1,6.91,US,1621177225
misratah,32.3754,15.0925,75.04,42,0,11.61,LY,1621177230
shimoda,34.6667,138.95,65.03,91,100,7.96,JP,1621177235
klaksvik,62.2266,-6.589,50,81,75,11.5,FO,1621177241
kavaratti,10.5669,72.642,83.34,80,100,20.09,IN,1621177246
saint-leu,-21.15,55.2833,74.77,73,0,3.44,RE,1621177251
nizhneyansk,,,,,,,,
nikolskoye,59.7035,30.7861,62.42,52,40,11.18,RU,1621177262
yomitan,,,,,,,,
aswan,24.0934,32.907,104.36,7,0,17.38,EG,1621177272
acari,-15.4311,-74.6158,77.31,49,28,5.68,PE,1621177277
bubaque,11.2833,-15.8333,77.94,80,77,8.37,GW,1621177283
maniitsoq,65.4167,-52.9,34.83,85,60,9.31,GL,1621177288
ancud,-41.8697,-73.8203,47.59,100,90,4.61,CL,1621177293
