City,lat,long,temp,humidity,cloudiness,windspeed,country,ong
kilindoni,-7.9139,39.6668,79.86,81.0,78.0,12.19,,39.6668
chisineu cris,,,,,,,,
mongo,12.1844,18.693,94.24,16.0,20.0,4.65,,18.693
dali,25.7,100.1833,54.3,85.0,0.0,4.94,,100.1833
airai,-8.9266,125.4092,55.18,83.0,73.0,3.38,,125.4092
mercedes,-34.6515,-59.4307,62.28,68.0,92.0,4.72,,-59.4307
ponta delgada,37.7333,-25.6667,64.4,94.0,75.0,8.05,,-25.6667
atuona,-9.8,-139.0333,79.0,69.0,12.0,18.32,,-139.0333
punta arenas,-53.15,-70.9167,46.2,93.0,90.0,9.22,,-70.9167
albany,42.6001,-73.9662,73.99,32.0,91.0,1.01,,-73.9662
gamba,-2.65,10.0,78.93,88.0,32.0,6.53,,10.0
guarapari,-20.6667,-40.4975,73.71,68.0,0.0,4.61,,-40.4975
hirara,24.8,125.2833,79.43,89.0,38.0,21.63,,125.2833
saint-philippe,-21.3585,55.7679,67.91,73.0,20.0,11.5,,55.7679
rikitea,-23.1203,-134.9692,74.86,58.0,80.0,15.32,,-134.9692
mataura,-46.1927,168.8643,37.99,94.0,97.0,1.01,,168.8643
thunder bay,48.4001,-89.3168,68.92,28.0,75.0,18.41,,-89.3168
xuddur,4.1213,43.8894,77.41,67.0,48.0,16.93,,43.8894
bethel,41.3712,-73.414,72.41,21.0,90.0,6.91,,-73.414
dikson,73.5069,80.5464,22.14,73.0,100.0,11.1,,80.5464
necochea,-38.5473,-58.7368,60.01,77.0,74.0,3.02,,-58.7368
busselton,-33.65,115.3333,60.49,71.0,98.0,5.01,,115.3333
ribeira grande,38.5167,-28.7,66.2,94.0,75.0,12.66,,-28.7
henties bay,-22.116,14.2845,63.48,85.0,0.0,9.62,,14.2845
upernavik,72.7868,-56.1549,34.09,77.0,100.0,4.23,,-56.1549
kpalime,6.9,0.6333,74.48,93.0,68.0,3.49,,0.6333
illoqqortoormiut,,,,,,,,
butaritari,3.0707,172.7902,82.67,80.0,68.0,17.65,,172.7902
kathu,7.9178,98.3332,84.51,94.0,20.0,2.3,,98.3332
padang,-0.9492,100.3543,78.8,88.0,100.0,2.89,,100.3543
kavieng,-2.5744,150.7967,83.98,77.0,45.0,16.26,,150.7967
hilo,19.7297,-155.09,77.74,40.0,20.0,9.22,,-155.09
mayo,38.8876,-76.5119,73.42,35.0,1.0,10.36,,-76.5119
ixtapa,20.7,-105.2,84.2,79.0,20.0,13.8,,-105.2
namtsy,62.7161,129.6658,44.6,49.0,0.0,2.24,,129.6658
barrow,71.2906,-156.7887,26.6,80.0,90.0,10.36,,-156.7887
carnarvon,-24.8667,113.6333,60.8,77.0,98.0,8.05,,113.6333
hermanus,-34.4187,19.2345,55.99,96.0,100.0,7.52,,19.2345
chara,56.9064,118.2631,38.48,62.0,62.0,1.34,,118.2631
lima,-12.0432,-77.0282,65.12,77.0,90.0,5.75,,-77.0282
yulara,-25.2406,130.9889,50.0,71.0,33.0,8.05,,130.9889
rawson,-43.3002,-65.1023,58.75,41.0,1.0,8.68,,-65.1023
mount isa,-20.7333,139.5,57.2,33.0,0.0,13.8,,139.5
matara,5.9485,80.5353,79.25,87.0,100.0,10.16,,80.5353
